type	lang	slug	url	status	date	updated	translationKey	words	h2Count	faq	internal	external	table	gsc_clicks	gsc_impr	gsc_pos	gsc_impr_delta	verdict	note
article	en	2-minute-rule-with-pomodoro	/blog/2-minute-rule-with-pomodoro	published	2026-03-25		2-minute-rule-with-pomodoro	1836	7	0	4	8	0	0	0	0		DORMANT	
article	en	ai-era-productivity-guide	/blog/ai-era-productivity-guide	published	2026-04-02		ai-era-productivity-guide	3520	12	1	10	18	0	0	0	0		DORMANT	
article	en	ai-productivity-tools-focus	/blog/ai-productivity-tools-focus	published	2026-03-23		ai-productivity-tools-focus	470	3	0	3	0	0	0	20	5.4	18	DORMANT	
article	en	ai-writing-keep-your-voice	/blog/ai-writing-keep-your-voice	published	2026-04-02		ai-writing-keep-your-voice	1833	7	1	9	5	0	0	6	19	-10	DORMANT	
article	en	ambient-sounds-productivity-science	/blog/ambient-sounds-productivity-science	published	2026-03-23		ambient-sounds-productivity-science	622	6	0	3	0	0	1	10	10.4	4	STAR	pos 30->10
article	en	avoid-burnout-software-engineer	/blog/avoid-burnout-software-engineer	published	2026-03-25		avoid-burnout-software-engineer	1706	6	0	8	10	0	0	1	4	-2	DORMANT	
article	en	best-pomodoro-apps-2026	/blog/best-pomodoro-apps-2026	published	2026-03-23	2026-07-27	best-pomodoro-apps-2026	2087	11	1	8	0	1	0	87	4.3	-101	FIX	pos amelioree 7.7->4.3 mais 0 clic = CTR
article	en	best-study-techniques-science	/blog/best-study-techniques-science	published	2026-03-25		best-study-techniques-science	2007	9	0	5	12	0	0	0	0		DORMANT	
article	en	body-doubling	/blog/body-doubling	published	2026-08-10	2026-08-10	body-doubling	1989	9	1	7	9	1	0	0	0		NEW	
article	en	build-daily-focus-habit-30-days	/blog/build-daily-focus-habit-30-days	published	2026-03-25		build-daily-focus-habit-30-days	1800	7	0	4	8	0	0	7	37	7	DORMANT	
article	en	cognitive-debt-ai-era	/blog/cognitive-debt-ai-era	published	2026-07-28	2026-07-28	cognitive-debt-ai-era	2146	7	1	3	7	0	0	0	0		NEW	
article	en	cognitive-sovereignty	/blog/cognitive-sovereignty	published	2026-07-28	2026-07-28	cognitive-sovereignty	2567	8	1	4	5	1	0	0	0		NEW	
article	en	consultant-orchestrate-ai-tools	/blog/consultant-orchestrate-ai-tools	published	2026-04-02		consultant-orchestrate-ai-tools	1635	7	1	5	5	0	0	1	24	-6	DORMANT	
article	en	context-switching-cost-development	/blog/context-switching-cost-development	published	2026-03-25	2026-07-27	context-switching-cost-development	2123	7	1	8	9	1	0	7	18	-62	DORMANT	chute -62 impr
article	en	customize-pomodoro-intervals	/blog/customize-pomodoro-intervals	published	2026-03-25		customize-pomodoro-intervals	1781	7	0	8	10	1	0	0	0		DORMANT	
article	en	deep-work-programmers-framework	/blog/deep-work-programmers-framework	published	2026-03-25		deep-work-programmers-framework	2006	6	0	8	9	1	0	21	5.8	21	DORMANT	NEW periode
article	en	developer-productivity-ai-era	/blog/developer-productivity-ai-era	published	2026-04-02		developer-productivity-ai-era	2141	7	1	7	11	1	0	1	7	-5	DORMANT	
article	en	digital-minimalism-remote-workers	/blog/digital-minimalism-remote-workers	published	2026-03-27			1567	7	1	8	7	0	0	0	0		DORMANT	
article	en	distraction-free-home-office	/blog/distraction-free-home-office	published	2026-03-25			1474	10	0	5	7	0	0	9	15.4	-13	DORMANT	
article	en	group-pomodoro-team-sessions	/blog/group-pomodoro-team-sessions	published	2026-03-25	2026-08-10		1654	6	0	7	6	0	6	80	10.5	62	STAR	top mover clics (+6), piste body doubling
article	en	how-to-use-never-dumb	/blog/how-to-use-never-dumb	published	2026-07-28	2026-07-28	how-to-use-never-dumb	1524	6	1	6	0	1	0	0	0		NEW	
article	en	how-to-use-pomodorian	/blog/how-to-use-pomodorian	published	2026-07-28	2026-07-28	how-to-use-pomodorian	2414	10	1	12	0	1	0	0	0		NEW	
article	en	long-pomodoro-sessions-guide	/blog/long-pomodoro-sessions-guide	published	2026-03-25	2026-07-27	long-pomodoro-sessions-guide	2411	9	1	8	12	0	2	917	23	711	REFRESH	grosse montee, striking distance
article	en	managers-when-not-to-use-ai	/blog/managers-when-not-to-use-ai	published	2026-04-02		managers-when-not-to-use-ai	1835	7	1	8	7	0	0	0	0		DORMANT	
article	en	meditation-pomodoro-breaks	/blog/meditation-pomodoro-breaks	published	2026-08-03	2026-08-03	meditation-pomodoro-breaks	1788	7	1	4	3	0	0	0	0		NEW	
article	en	micro-breaks-boost-focus	/blog/micro-breaks-boost-focus	published	2026-03-25			1796	6	0	4	9	0	0	30	8.9	-405	DORMANT	effondrement, chevauche use-pomodoro-breaks
article	en	morning-routines-productive-people	/blog/morning-routines-productive-people	published	2026-03-25		morning-routines-productive-people	1509	4	0	5	10	0	0	0	0		DORMANT	
article	en	never-dumb-breaks	/blog/never-dumb-breaks	published	2026-07-28	2026-07-28	never-dumb-breaks	1773	6	1	6	4	0	0	0	0		NEW	
article	en	note-taking-methods-retention	/blog/note-taking-methods-retention	published	2026-03-25			1801	9	0	7	11	0	0	0	0		DORMANT	
article	en	pair-programming-vs-solo-deep-work	/blog/pair-programming-vs-solo-deep-work	published	2026-03-25			1475	6	0	6	12	0	0	2	15	-146	DORMANT	chute -146 impr
article	en	pomodoro-2-automated-workflows	/blog/pomodoro-2-automated-workflows	published	2026-04-02		pomodoro-2-automated-workflows	1886	8	1	10	6	1	1	3	11.7	2	STAR	
